OBS,SP500_OPEN,FTSE_OPEN,R_SP500_OPEN,R_FTSE_OPEN
6/26/1991,370.65,2459.3,-0.078210336,0.391118853
6/27/1991,371.59,2442.7,0.253287482,-0.677277171
6/28/1991,374.4,2451.6,0.753364868,0.363688773
07/01/1991,371.18,2416.7,-0.863762445,-1.433789942
07/02/1991,377.92,2455.2,1.799541286,1.580525112
07/03/1991,377.47,2456,-0.119143768,0.032578596
07/04/1991,,2452.5,,-0.142609783
07/05/1991,373.34,2472.3,,0.8040979
07/08/1991,374.09,2480.2,0.200687757,0.319031063
07/09/1991,377.94,2481,1.023904269,0.032250262
7/10/1991,376.11,2485.9,-0.485379907,0.197306231
7/11/1991,375.73,2506.7,-0.101085346,0.833238006
7/12/1991,376.97,2510.7,0.329480835,0.159445165
7/15/1991,380.28,2500,0.874221481,-0.427086685
7/16/1991,382.39,2543.3,0.553320672,1.717171851
7/17/1991,381.5,2550.3,-0.233017948,0.274854893
7/18/1991,381.18,2557.1,-0.083914622,0.266280457
7/19/1991,385.38,2556.9,1.095815599,-0.007821666
7/22/1991,384.21,2539.6,-0.304058239,-0.67889989
7/23/1991,382.88,2561.3,-0.346765395,0.850835378
7/24/1991,379.42,2581.8,-0.907785324,0.797188799
7/25/1991,378.64,2575.6,-0.205788533,-0.240431341
7/26/1991,380.96,2584,0.610849714,0.325606924
7/29/1991,380.93,2587.7,-0.007875153,0.143086437
7/30/1991,383.15,2595.3,0.58109262,0.293266658
7/31/1991,386.69,2597.7,0.919678102,0.092432127
08/01/1991,387.81,2586.2,0.289219052,-0.443682126
08/02/1991,387.12,2590.7,-0.178080648,0.173849259
08/05/1991,387.17,2599.1,0.012915058,0.323712179
08/06/1991,385.06,2576.7,-0.546470676,-0.86557208
08/07/1991,390.62,2584.9,1.433605411,0.317731203
08/08/1991,390.56,2597.4,-0.015361376,0.48241222
08/09/1991,389.32,2592.5,-0.317997909,-0.188828357
8/12/1991,387.11,2557.1,-0.569273719,-1.374885725
8/13/1991,388.02,2574.2,0.234799432,0.666500236
